Product Name,Rating,Price,Image URL,Product Link,Category
FancyDressWale Santa Claus baby boys Christmas dress Unisex with Cap and Bag,3.5 out of 5 stars,₹236.00,"https://images-eu.ssl-images-amazon.com/images/I/61-2RXQf7LL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/FancyDressWale-Girls-Dress-FDWSANTAREGULAR_Red_0-6-Months/dp/B09LVNPXB4/ref=zg_bs_g_toys_d_sccl_1/259-0518190-3818361?psc=1,toys
Zest 4 Toyz Santa Claus Dress for Kids Christmas Costume Dress with Jacket Pant Cap Goggles Beard and Pouch Santa Dress for Boys and Girls,3.9 out of 5 stars,₹529.00,"https://images-eu.ssl-images-amazon.com/images/I/412c7f+FsRL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Zest-Toyz-Christmas-Costume-Children/dp/B09N1QT7DN/ref=zg_bs_g_toys_d_sccl_2/259-0518190-3818361?psc=1,toys
"Mattel Uno Playing Card Game For 7 Yrs And Above For Adult,Set Of 112 Cards, Multicolor",4.5 out of 5 stars,₹111.00,"https://images-eu.ssl-images-amazon.com/images/I/71ICPSc3H+L._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Mattel-Uno-Playing-Card-Game/dp/B00GTJSGXE/ref=zg_bs_g_toys_d_sccl_3/259-0518190-3818361?psc=1,toys
"Wirescorts Angle Geometric Plastic Blocks, Sorting & Stacking Toys for Toddlers and Kids Preschool, Color Stacker Shape Sorter Gift Educational Learning Toy for 1 2 3 Years Boys and Girls, Multicolor",4.2 out of 5 stars,₹165.00,"https://images-eu.ssl-images-amazon.com/images/I/51mHC9zqABL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/WireScorts-Geometric-Preschool-Educational-Multicolor/dp/B0CFGB45S2/ref=zg_bs_g_toys_d_sccl_4/259-0518190-3818361?psc=1,toys
"Einstein Box Ultimate Science Kit for Boys and Girls Ages 8-12-14| Birthday Gifts Ideas for Kids| STEM Learning Toys for 8,9,10,11,12,13,14 Year Olds|",4.3 out of 5 stars,₹695.00,"https://images-eu.ssl-images-amazon.com/images/I/71flpMokoIL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Einstein-Box-Educational-Learning-Experiments/dp/B0855MGS99/ref=zg_bs_g_toys_d_sccl_5/259-0518190-3818361?psc=1,toys
Storio Rechargeable Toys Talking Cactus Baby Toys for Kids Dancing Cactus Toys Can Sing Wriggle & Singing Recording Repeat What You Say Funny Education Toys for Children Playing Home Decor for Kids,3.7 out of 5 stars,₹299.00,"https://images-eu.ssl-images-amazon.com/images/I/61YVpEBCUhL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Storio-Unbreakable-Friction-Automobile-Toys/dp/B08D8J88X3/ref=zg_bs_g_toys_d_sccl_6/259-0518190-3818361?psc=1,toys
Storio Toys Rechargeable Educational Learning Talking Flash Cards for 2 Year Old Kids Boys Girls Baby Montessori Toys,3.9 out of 5 stars,₹299.00,"https://images-eu.ssl-images-amazon.com/images/I/61SIh+VJF7L._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Storio-Dual-Function-Water-Shoot/dp/B08D8HVTBN/ref=zg_bs_g_toys_d_sccl_7/259-0518190-3818361?psc=1,toys
"Popsugar Off Roader Rechargeable Remote Control Car | Monster Truck with 2 Speeds | 4 Headlight Modes | Lithium Battery | C-Type Charging | Remote Control Car for Kids | Made in India, Black Mat",4.1 out of 5 stars,"₹1,099.00","https://images-eu.ssl-images-amazon.com/images/I/717pTcRrigL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Popsugar-Rechargeable-Control-Headlight-Charging/dp/B0CQJRQWHN/ref=zg_bs_g_toys_d_sccl_8/259-0518190-3818361?psc=1,toys
Sky Tech® Range Rover Defender 1:32 Scale Model Car Exclusive Alloy Metal Pull Back Die-cast Car Metal Pullback Toy car with Openable Doors & Light Music Best Gifts Toys Kids【Colors as Per Stock】,4.0 out of 5 stars,₹848.00,"https://images-eu.ssl-images-amazon.com/images/I/61S8ET0MrYL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Sky-Tech%C2%AE-Range-Rover-Defender/dp/B0D5VS6RD2/ref=zg_bs_g_toys_d_sccl_9/259-0518190-3818361?psc=1,toys
"Nerf Alpha Strike Fang Qs-4 Toy Blaster, Fire 4 Darts in A Row, 10 Nerf Darts, Gift Toys for Kids Teens&Adults, Toy for Boys, Birthday Gift Toy Ages 8+,Best Xmas Gift,Multicolor",4.3 out of 5 stars,₹309.00,"https://images-eu.ssl-images-amazon.com/images/I/61-0r-DOQmL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Nerf-Blaster-Blasting-Official-Load-Prime-Fire/dp/B09JYLXVP8/ref=zg_bs_g_toys_d_sccl_10/259-0518190-3818361?psc=1,toys
Topps UEFA Champions League Match Attax 24/25 Trading and Collectible Card Game (Smart Pack),3.9 out of 5 stars,₹748.00,"https://images-eu.ssl-images-amazon.com/images/I/61ABLc-yDLL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Topps-Champions-League-Trading-Collectible/dp/B0DJBM42SZ/ref=zg_bs_g_toys_d_sccl_11/259-0518190-3818361?psc=1,toys
Zest 4 Toyz Santa Claus Dress for Kids Christmas Costume Dress with Jacket Pant Cap and Pouch Santa Dress for Boys and Girls,3.7 out of 5 stars,₹284.00,"https://images-eu.ssl-images-amazon.com/images/I/717JtXOaecL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/zest-toyz-Santa-Christmas-Costume/dp/B07KSZJDNX/ref=zg_bs_g_toys_d_sccl_12/259-0518190-3818361?psc=1,toys
"HUG 'n' FEEL SOFT TOYS Long Soft Lovable Huggable Cute Giant Life Size Teddy Bear Plush & Stuffed Toys (35cm, Avocado)",4.0 out of 5 stars,₹321.00,"https://images-eu.ssl-images-amazon.com/images/I/41DX4usBUXL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Huggable/dp/B0BLCLG8XJ/ref=zg_bs_g_toys_d_sccl_13/259-0518190-3818361?psc=1,toys
GRAPHENE Santa Claus Dress Christmas Santa Costume for Children With Jacket Pant Cap Pouch For Kids Boy & Girls (Pack Of 1),5.0 out of 5 stars,₹149.00,"https://images-eu.ssl-images-amazon.com/images/I/61OKX95Ii7L._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/GRAPHENE-Santa-Dress-Christmas-Children/dp/B0DMK9D73D/ref=zg_bs_g_toys_d_sccl_14/259-0518190-3818361?psc=1,toys
"Smartivity Kids Montessori Slide Puzzle I Color & Pattern Matching Learning Toys for Kids 4-8 Years I Birthday Gift for Boys&Girls I Preschool Educational Activity Toy for 4,5,6,7,8I Travel Friendly",4.7 out of 5 stars,₹409.00,"https://images-eu.ssl-images-amazon.com/images/I/71WLAGLJucL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Smartivity-Montessori-Matching-Preschool-Educational/dp/B0DG5YMYMD/ref=zg_bs_g_toys_d_sccl_15/259-0518190-3818361?psc=1,toys
Wembley Monster Truck Remote Control Car for Kids Rechargeable Rc Car Offroad High Speed with 2 Speeds and 4 Headlight Modes | Lithium Battery | C-Type Charging | Made in India - Red,4.1 out of 5 stars,"₹1,179.00","https://images-eu.ssl-images-amazon.com/images/I/61i+8IjgK6L._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Wembley-Monster-Rechargeable-Headlight-Charging/dp/B0CT8HVN5B/ref=zg_bs_g_toys_d_sccl_16/259-0518190-3818361?psc=1,toys
"Storio Click and Catch Twin Ball Launcher Game with 3 Balls Indoor Outdoor Toy Set, Pop & Catch Ball Play Fun Boys & Girls - Multicolor",3.9 out of 5 stars,₹179.00,"https://images-eu.ssl-images-amazon.com/images/I/71SG7+k7-WL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Storio-Click-Launcher-Indoor-Outdoor/dp/B0BQC9PMYS/ref=zg_bs_g_toys_d_sccl_17/259-0518190-3818361?psc=1,toys
"Lifelong LLKS03 Foldable Kick Skating Cycle| Skate Scooter for Kids(Max User Weight: 50Kg) Kids Scooter (Pink, Blue)",3.9 out of 5 stars,₹999.00,"https://images-eu.ssl-images-amazon.com/images/I/61xr-fzqcxL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Lifelong-Adjustable-Weight-50-Manufacturers-LLKS03/dp/B0C862R9VF/ref=zg_bs_g_toys_d_sccl_18/259-0518190-3818361?psc=1,toys
"Portronics Ruffpad 8.5E Re-Writable LCD Writing Pad with Screen 21.5cm (8.5-inch) for Drawing, Playing, Handwriting Gifts for Kids & Adults, India's first notepad to save and share your child's first creatives via Ruffpad app on your Smartphone(Black)",4.0 out of 5 stars,₹199.00,"https://images-eu.ssl-images-amazon.com/images/I/51nzIs6jTCL._AC_UL600_SR600,400_.jpg",https://www.amazon.in/https://www.amazon.in/Portronics-Ruffpad-Re-Writable-8-5-inch-Handwriting/dp/B09GF6JBZN/ref=zg_bs_g_toys_d_sccl_19/259-0518190-3818361?psc=1,toys
